dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
1-9km/h,745.351,alive,none,belted,1,m,16,1997,1988,unavail,driver,0,0,2:35:01
24-Oct,440.462,alive,airbag,none,0,f,16,1997,1992,nodeploy,pass,0,0,2:43:01
1-9km/h,565.864,alive,airbag,none,0,f,16,1997,1996,nodeploy,pass,0,0,2:58:01
25-39,25.069,alive,none,none,1,m,16,1997,1985,unavail,pass,0,3,0.166678241
24-Oct,328.911,alive,none,belted,0,m,16,1997,1991,unavail,driver,0,3,0.172233796
24-Oct,328.911,alive,none,belted,0,f,16,1997,1991,unavail,pass,0,2,0.172233796
25-39,18.956,alive,none,none,0,m,16,1997,1989,unavail,driver,0,2,0.270150463
25-39,1278.365,alive,none,belted,1,f,16,1997,1984,unavail,driver,0,2,5:53:01
24-Oct,18.361,alive,airbag,belted,0,m,16,1997,1992,nodeploy,driver,0,0,6:19:02
25-39,5.701,alive,none,none,1,m,16,1997,1994,unavail,driver,0,0,0.29306713
24-Oct,384.211,alive,airbag,none,0,f,16,1997,1994,nodeploy,driver,0,1,8:20:01
24-Oct,588.401,alive,none,none,1,f,16,1997,1986,unavail,pass,0,2,8:57:02
25-39,33.288,alive,none,belted,1,m,16,1997,1986,unavail,driver,0,1,0.398634259
24-Oct,99.996,alive,none,belted,1,f,16,1997,1994,unavail,driver,0,0,0.407650463
24-Oct,227.024,alive,none,none,0,f,16,1997,1985,unavail,pass,0,0,0.415983796
25-39,585.326,alive,none,none,1,m,16,1997,1990,unavail,driver,0,1,0.417372685
24-Oct,35.21,alive,airbag,belted,1,m,16,1997,1995,deploy,driver,1,3,0.428483796
40-54,94.538,alive,none,belted,1,m,16,1997,1992,unavail,driver,0,3,0.442372685
40-54,94.538,alive,none,none,1,m,16,1997,1992,unavail,pass,0,3,0.442372685
24-Oct,56.459,alive,none,belted,1,f,16,1997,1987,unavail,pass,0,3,9:42:02
